rank,objective_value,w1,w2,w3,w4
1,0.18627066104885343,1.0,0.0,0.0,0.0
2,0.1842512894105568,0.9800000000000001,0.0,0.02,0.0
3,0.1840287659047298,0.9800000000000001,0.02,0.0,0.0
4,0.18222750575620003,0.9600000000000001,0.0,0.04,0.0
5,0.1820069836528594,0.9600000000000001,0.02,0.02,0.0
6,0.1817818151652018,0.9600000000000001,0.04,0.0,0.0
7,0.18019930986923688,0.9400000000000001,0.0,0.06,0.0
8,0.17998078944651705,0.9400000000000001,0.02,0.04,0.0
9,0.1799332279530945,0.9800000000000001,0.0,0.0,0.019999999999999907
10,0.17975762236134582,0.9400000000000001,0.04,0.02,0.0
