ma_window,upper_k,lower_k,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
260,1.3000000000000043,-1.9999999999999991,1001,126,94.7699999999998,0.8867253150242964,0.7142857142857143,0.005127586636345102,7.809523809523809,0.40630975143403436,46.75,0.48041556359026205,1
65,0.6000000000000032,-1.4999999999999987,1196,177,88.85999999999986,0.8639958677390078,0.6836158192090396,0.003612452025089419,6.141242937853107,0.39937732422381744,46.18000000000001,0.4646185435151904,2
130,0.9000000000000035,-2.8,1131,236,92.70499999999998,0.8603391514446219,0.6694915254237288,0.002689953743147227,4.8940677966101696,0.2941693993441574,36.78,0.5661697521004645,3
130,1.0000000000000036,-2.8,1131,218,88.465,0.8444939681969663,0.6697247706422018,0.0028702928108435295,5.229357798165138,0.2941693993441574,36.78,0.5503245688528089,4
65,1.0000000000000036,-1.9999999999999991,1196,181,87.64499999999998,0.8422758578970682,0.6629834254143646,0.0034682324024850803,6.933701657458563,0.39937732422381744,46.18000000000001,0.4428985336732507,5
65,1.0000000000000036,-1.4999999999999987,1196,118,87.27999999999996,0.8409554338743948,0.7627118644067796,0.005311714352244122,9.915254237288135,0.39937732422381744,46.18000000000001,0.4415781096505773,6
65,0.6000000000000032,-1.9999999999999991,1196,236,88.46499999999989,0.8402794978281642,0.6228813559322034,0.0026635706206892137,4.97457627118644,0.39937732422381744,46.18000000000001,0.4409021736043468,7
65,0.7000000000000033,-1.4999999999999987,1196,159,87.26999999999995,0.8348268844366811,0.7232704402515723,0.00392424759931318,7.031446540880503,0.39937732422381744,46.18000000000001,0.43544956021286363,8
22,0.30000000000000293,-0.8999999999999981,1239,143,89.44999999999997,0.833355247709576,0.7972027972027972,0.004360088821537724,7.0,0.36249578982822506,43.05,0.470859457881351,9
130,0.7000000000000033,-2.8,1131,267,93.48499999999993,0.829397334358416,0.6329588014981273,0.00231218601186139,4.348314606741573,0.2941693993441574,36.78,0.5352279350142586,10
65,0.20000000000000284,-1.4999999999999987,1196,217,84.07999999999986,0.8278544192838442,0.6543778801843319,0.00286842425468767,4.76036866359447,0.39937732422381744,46.18000000000001,0.42847709506002674,11
130,0.9000000000000035,-2.9,1131,239,90.21499999999995,0.8243529956558087,0.6694560669456067,0.00257726473079422,4.853556485355648,0.2941693993441574,36.78,0.5301835963116512,12
22,0.30000000000000293,-0.799999999999998,1239,128,89.03999999999994,0.8238688548579547,0.8046875,0.004828517556555234,7.671875,0.36249578982822506,43.05,0.46137306502972963,13
22,0.30000000000000293,-1.799999999999999,1239,270,88.87999999999982,0.8198755270824223,0.6666666666666666,0.0022964755653066067,4.485185185185185,0.36249578982822506,43.05,0.4573797372541972,14
260,1.5000000000000036,-2.5999999999999996,1001,145,86.11999999999982,0.8131756442677018,0.6620689655172414,0.004181975802805774,7.103448275862069,0.40630975143403436,46.75,0.4068658928336675,15
