Date,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2021-01-04,-0.07514149251554242,0.0,2020-12-31,ols,45,0.09929027679820744,182.33
2021-01-05,0.08126397214567621,0.8184484399296521,2020-12-31,ols,45,0.09929027679820744,182.87
2021-01-06,0.12751994419152632,1.0,2020-12-31,ols,45,0.09929027679820744,179.9
2021-01-07,0.12421881931718368,1.0,2020-12-31,ols,45,0.09929027679820744,179.48
2021-01-08,0.0799376592219781,0.8050905063386958,2020-12-31,ols,45,0.09929027679820744,173.34
2021-01-11,0.08427236981976469,0.8487474558161985,2020-12-31,ols,45,0.09929027679820744,173.0
2021-01-12,0.08938925759783364,0.9002820868301522,2020-12-31,ols,45,0.09929027679820744,174.12
2021-01-13,0.08735774684020106,0.87982176762124,2020-12-31,ols,45,0.09929027679820744,173.37
2021-01-14,0.08888092523091642,0.8951624277526544,2020-12-31,ols,45,0.09929027679820744,173.28
2021-01-15,0.10240039436914847,1.0,2020-12-31,ols,45,0.09929027679820744,171.13
2021-01-19,0.11003072738139275,1.0,2020-12-31,ols,45,0.09929027679820744,172.58
2021-01-20,0.11541334420204899,1.0,2020-12-31,ols,45,0.09929027679820744,175.39
2021-01-21,0.13896352991776037,1.0,2020-12-31,ols,45,0.09929027679820744,175.28
2021-01-22,0.12359736037826363,1.0,2020-12-31,ols,45,0.09929027679820744,173.9
2021-01-25,0.1410230775737699,1.0,2020-12-31,ols,45,0.09929027679820744,174.05
2021-01-26,0.11289867033921422,1.0,2020-12-31,ols,45,0.09929027679820744,173.62
2021-01-27,0.11370955109977957,1.0,2020-12-31,ols,45,0.09929027679820744,172.52
2021-01-28,0.11124800559817907,1.0,2020-12-31,ols,45,0.09929027679820744,172.68
2021-01-29,0.11049202037589742,1.0,2020-12-31,ols,45,0.09929027679820744,172.61
2021-02-01,0.130497367059026,1.0,2020-12-31,ols,45,0.09929027679820744,174.23
2021-02-02,0.11043128310619449,1.0,2020-12-31,ols,45,0.09929027679820744,172.11
2021-02-03,0.12962148019874264,1.0,2020-12-31,ols,45,0.09929027679820744,171.85
2021-02-04,0.15216626582151618,1.0,2020-12-31,ols,45,0.09929027679820744,168.15
2021-02-05,0.15621605072169367,1.0,2020-12-31,ols,45,0.09929027679820744,169.81
2021-02-08,0.14891793608956747,1.0,2020-12-31,ols,45,0.09929027679820744,171.52
2021-02-09,0.1438466237655873,1.0,2020-12-31,ols,45,0.09929027679820744,172.08
2021-02-10,0.15527876534790389,1.0,2020-12-31,ols,45,0.09929027679820744,172.71
2021-02-11,0.12624537858507145,1.0,2020-12-31,ols,45,0.09929027679820744,171.21
2021-02-12,0.12825543814276472,1.0,2020-12-31,ols,45,0.09929027679820744,170.69
2021-02-16,0.13539790690568562,1.0,2020-12-31,ols,45,0.09929027679820744,168.24
2021-02-17,0.13753751879019938,1.0,2020-12-31,ols,45,0.09929027679820744,166.33
2021-02-18,0.13727715018017247,1.0,2020-12-31,ols,45,0.09929027679820744,166.32
2021-02-19,0.13262161374585107,1.0,2020-12-31,ols,45,0.09929027679820744,167.01
2021-02-22,0.12113476084160132,1.0,2020-12-31,ols,45,0.09929027679820744,169.51
2021-02-23,0.11019504696041116,1.0,2020-12-31,ols,45,0.09929027679820744,169.12
2021-02-24,0.103710829453591,1.0,2020-12-31,ols,45,0.09929027679820744,169.0
2021-02-25,0.09123650495655336,0.9188866009707862,2020-12-31,ols,45,0.09929027679820744,165.82
2021-02-26,0.07878873602511266,0.793519149767695,2020-12-31,ols,45,0.09929027679820744,161.81
2021-03-01,0.07794367388114143,0.7850081236005639,2020-12-31,ols,45,0.09929027679820744,161.53
2021-03-02,0.08348128012845085,0.8407800121064624,2020-12-31,ols,45,0.09929027679820744,162.41
2021-03-03,0.09468723720515915,0.9536405805132029,2020-12-31,ols,45,0.09929027679820744,160.62
2021-03-04,0.11047581335841408,1.0,2020-12-31,ols,45,0.09929027679820744,159.04
2021-03-05,0.12774359497528662,1.0,2020-12-31,ols,45,0.09929027679820744,159.14
2021-03-08,0.1469032044818359,1.0,2020-12-31,ols,45,0.09929027679820744,157.49
2021-03-09,0.14722803113141777,1.0,2020-12-31,ols,45,0.09929027679820744,160.84
2021-03-10,0.14384252532518296,1.0,2020-12-31,ols,45,0.09929027679820744,161.66
2021-03-11,0.16198693880374118,1.0,2020-12-31,ols,45,0.09929027679820744,161.52
2021-03-12,0.15510997488938202,1.0,2020-12-31,ols,45,0.09929027679820744,161.49
2021-03-15,0.13556278633299915,1.0,2020-12-31,ols,45,0.09929027679820744,162.2
2021-03-16,0.1350460889345854,1.0,2020-12-31,ols,45,0.09929027679820744,162.35
2021-03-17,0.1081587417943281,1.0,2020-12-31,ols,45,0.09929027679820744,163.51
2021-03-18,0.14767002041664087,1.0,2020-12-31,ols,45,0.09929027679820744,162.56
2021-03-19,0.14448914699237167,1.0,2020-12-31,ols,45,0.09929027679820744,163.24
2021-03-22,0.13941969314442937,1.0,2020-12-31,ols,45,0.09929027679820744,163.0
2021-03-23,0.12721648813921757,1.0,2020-12-31,ols,45,0.09929027679820744,161.81
2021-03-24,0.1295617655670568,1.0,2020-12-31,ols,45,0.09929027679820744,162.37
2021-03-25,0.13164250251844278,1.0,2020-12-31,ols,45,0.09929027679820744,161.78
2021-03-26,0.13121550175847344,1.0,2020-12-31,ols,45,0.09929027679820744,162.24
2021-03-29,0.13615238231068874,1.0,2020-12-31,ols,45,0.09929027679820744,160.31
2021-03-30,0.14218456654367204,1.0,2020-12-31,ols,45,0.09929027679820744,157.57
2021-03-31,0.15952184643005815,1.0,2020-12-31,ols,45,0.09929027679820744,159.96
2021-04-01,-0.04832895544288874,0.0,2021-03-31,ols,45,0.022624564745643845,161.98
2021-04-05,-0.051399965442281335,0.0,2021-03-31,ols,45,0.022624564745643845,161.92
2021-04-06,-0.06213695077886274,0.0,2021-03-31,ols,45,0.022624564745643845,163.22
2021-04-07,-0.06711049169953248,0.0,2021-03-31,ols,45,0.022624564745643845,162.76
2021-04-08,-0.05831136310153694,0.0,2021-03-31,ols,45,0.022624564745643845,164.51
2021-04-09,-0.06433429249835806,0.0,2021-03-31,ols,45,0.022624564745643845,163.27
2021-04-12,-0.047941494665739916,0.0,2021-03-31,ols,45,0.022624564745643845,162.28
2021-04-13,-0.042637285664828335,0.0,2021-03-31,ols,45,0.022624564745643845,163.43
2021-04-14,-0.05729151371675831,0.0,2021-03-31,ols,45,0.022624564745643845,162.72
2021-04-15,-0.07478239485106133,0.0,2021-03-31,ols,45,0.022624564745643845,165.35
2021-04-16,-0.08527946348991246,0.0,2021-03-31,ols,45,0.022624564745643845,166.35
2021-04-19,-0.08191094637687493,0.0,2021-03-31,ols,45,0.022624564745643845,165.89
2021-04-20,-0.08433088169625577,0.0,2021-03-31,ols,45,0.022624564745643845,166.48
2021-04-21,-0.09383822268504687,0.0,2021-03-31,ols,45,0.022624564745643845,168.13
2021-04-22,-0.09354848443508725,0.0,2021-03-31,ols,45,0.022624564745643845,167.04
2021-04-23,-0.080114285000108,0.0,2021-03-31,ols,45,0.022624564745643845,166.4
2021-04-26,-0.07145909155273289,0.0,2021-03-31,ols,45,0.022624564745643845,166.84
2021-04-27,-0.058531717791146354,0.0,2021-03-31,ols,45,0.022624564745643845,166.42
2021-04-28,-0.04954827402103005,0.0,2021-03-31,ols,45,0.022624564745643845,166.91
2021-04-29,-0.020003227964496724,0.0,2021-03-31,ols,45,0.022624564745643845,166.22
2021-04-30,-0.024471885566716037,0.0,2021-03-31,ols,45,0.022624564745643845,165.66
2021-05-03,-0.055193956284192755,0.0,2021-03-31,ols,45,0.022624564745643845,167.81
2021-05-04,-0.0541766378376995,0.0,2021-03-31,ols,45,0.022624564745643845,166.58
2021-05-05,-0.07013775476503097,0.0,2021-03-31,ols,45,0.022624564745643845,167.27
2021-05-06,-0.08220115280068827,0.0,2021-03-31,ols,45,0.022624564745643845,170.06
2021-05-07,-0.07254210389474317,0.0,2021-03-31,ols,45,0.022624564745643845,171.59
2021-05-10,-0.07777994068852462,0.0,2021-03-31,ols,45,0.022624564745643845,172.11
2021-05-11,-0.07712938368391961,0.0,2021-03-31,ols,45,0.022624564745643845,172.14
2021-05-12,-0.0695074402212636,0.0,2021-03-31,ols,45,0.022624564745643845,170.43
2021-05-13,-0.08874265400586415,0.0,2021-03-31,ols,45,0.022624564745643845,171.13
2021-05-14,-0.067555073048467,0.0,2021-03-31,ols,45,0.022624564745643845,172.69
2021-05-17,-0.08043907859505903,0.0,2021-03-31,ols,45,0.022624564745643845,174.7
2021-05-18,-0.06342163884336956,0.0,2021-03-31,ols,45,0.022624564745643845,175.04
