Date,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2023-01-03,-0.16539125392217874,0.0,2022-12-30,ols,130,0.1731889657610876,171.06
2023-01-04,-0.16110736368909034,0.0,2022-12-30,ols,130,0.1731889657610876,172.67
2023-01-05,-0.13065212202884824,0.0,2022-12-30,ols,130,0.1731889657610876,170.52
2023-01-06,-0.13888690958156635,0.0,2022-12-30,ols,130,0.1731889657610876,173.71
2023-01-09,-0.14248347687628082,0.0,2022-12-30,ols,130,0.1731889657610876,174.1
2023-01-10,-0.1532766415960246,0.0,2022-12-30,ols,130,0.1731889657610876,174.74
2023-01-11,-0.15169974036069336,0.0,2022-12-30,ols,130,0.1731889657610876,174.62
2023-01-12,-0.17283193214283787,0.0,2022-12-30,ols,130,0.1731889657610876,176.64
2023-01-13,-0.18541142588953613,0.0,2022-12-30,ols,130,0.1731889657610876,178.76
2023-01-17,-0.183815887771083,0.0,2022-12-30,ols,130,0.1731889657610876,177.59
2023-01-18,-0.1884823330973205,0.0,2022-12-30,ols,130,0.1731889657610876,177.08
2023-01-19,-0.21177220783995027,0.0,2022-12-30,ols,130,0.1731889657610876,179.89
2023-01-20,-0.22320332270092072,0.0,2022-12-30,ols,130,0.1731889657610876,179.29
2023-01-23,-0.24555950316861241,0.0,2022-12-30,ols,130,0.1731889657610876,179.63
2023-01-24,-0.23975969095780184,0.0,2022-12-30,ols,130,0.1731889657610876,180.28
2023-01-25,-0.24797776080317924,0.0,2022-12-30,ols,130,0.1731889657610876,181.11
2023-01-26,-0.21963204692447078,0.0,2022-12-30,ols,130,0.1731889657610876,179.47
2023-01-27,-0.2174778910455702,0.0,2022-12-30,ols,130,0.1731889657610876,179.22
2023-01-30,-0.20209393963979985,0.0,2022-12-30,ols,130,0.1731889657610876,178.76
2023-01-31,-0.1988788637582316,0.0,2022-12-30,ols,130,0.1731889657610876,179.41
2023-02-01,-0.2115221003884899,0.0,2022-12-30,ols,130,0.1731889657610876,181.67
2023-02-02,-0.18640757610429032,0.0,2022-12-30,ols,130,0.1731889657610876,177.9
2023-02-03,-0.1639997309690081,0.0,2022-12-30,ols,130,0.1731889657610876,173.46
2023-02-06,-0.14794011642439067,0.0,2022-12-30,ols,130,0.1731889657610876,173.82
2023-02-07,-0.13691643941445042,0.0,2022-12-30,ols,130,0.1731889657610876,173.98
2023-02-08,-0.1388140574999503,0.0,2022-12-30,ols,130,0.1731889657610876,174.41
2023-02-09,-0.12795065949594242,0.0,2022-12-30,ols,130,0.1731889657610876,173.03
2023-02-10,-0.12617670954466104,0.0,2022-12-30,ols,130,0.1731889657610876,173.36
2023-02-13,-0.11619462350426624,0.0,2022-12-30,ols,130,0.1731889657610876,172.48
2023-02-14,-0.11757825892432129,0.0,2022-12-30,ols,130,0.1731889657610876,172.61
2023-02-15,-0.09274187618701812,0.0,2022-12-30,ols,130,0.1731889657610876,170.89
2023-02-16,-0.08732698518788835,0.0,2022-12-30,ols,130,0.1731889657610876,170.75
2023-02-17,-0.061841092168118145,0.0,2022-12-30,ols,130,0.1731889657610876,171.26
2023-02-21,-0.08172475635328942,0.0,2022-12-30,ols,130,0.1731889657610876,170.62
2023-02-22,-0.07035311532895556,0.0,2022-12-30,ols,130,0.1731889657610876,169.66
2023-02-23,-0.05992316047761887,0.0,2022-12-30,ols,130,0.1731889657610876,169.57
2023-02-24,-0.05495097299354762,0.0,2022-12-30,ols,130,0.1731889657610876,168.35
2023-02-27,-0.06566536651565644,0.0,2022-12-30,ols,130,0.1731889657610876,169.01
2023-02-28,-0.08527324496900088,0.0,2022-12-30,ols,130,0.1731889657610876,169.78
2023-03-01,-0.10816188755865372,0.0,2022-12-30,ols,130,0.1731889657610876,170.76
2023-03-02,-0.11512222052622428,0.0,2022-12-30,ols,130,0.1731889657610876,170.66
2023-03-03,-0.13321785525412946,0.0,2022-12-30,ols,130,0.1731889657610876,172.49
2023-03-06,-0.12044904160824796,0.0,2022-12-30,ols,130,0.1731889657610876,171.62
2023-03-07,-0.10610634160608423,0.0,2022-12-30,ols,130,0.1731889657610876,168.62
2023-03-08,-0.10173002922158111,0.0,2022-12-30,ols,130,0.1731889657610876,168.54
2023-03-09,-0.11078754539942579,0.0,2022-12-30,ols,130,0.1731889657610876,170.2
2023-03-10,-0.12961691025976346,0.0,2022-12-30,ols,130,0.1731889657610876,173.87
2023-03-13,-0.13318670172416258,0.0,2022-12-30,ols,130,0.1731889657610876,177.86
2023-03-14,-0.12743548752630146,0.0,2022-12-30,ols,130,0.1731889657610876,176.83
2023-03-15,-0.1377894164349187,0.0,2022-12-30,ols,130,0.1731889657610876,178.21
2023-03-16,-0.1381799738926412,0.0,2022-12-30,ols,130,0.1731889657610876,178.57
2023-03-17,-0.15844020004287157,0.0,2022-12-30,ols,130,0.1731889657610876,183.77
2023-03-20,-0.16467847175111705,0.0,2022-12-30,ols,130,0.1731889657610876,183.84
2023-03-21,-0.16322624942393937,0.0,2022-12-30,ols,130,0.1731889657610876,180.37
2023-03-22,-0.1779171995428161,0.0,2022-12-30,ols,130,0.1731889657610876,183.44
2023-03-23,-0.187707266228821,0.0,2022-12-30,ols,130,0.1731889657610876,185.74
2023-03-24,-0.17539779009557666,0.0,2022-12-30,ols,130,0.1731889657610876,183.65
2023-03-27,-0.1713407949261861,0.0,2022-12-30,ols,130,0.1731889657610876,181.95
2023-03-28,-0.17456976385232392,0.0,2022-12-30,ols,130,0.1731889657610876,183.44
2023-03-29,-0.1796787697918635,0.0,2022-12-30,ols,130,0.1731889657610876,182.53
2023-03-30,-0.1852795059889426,0.0,2022-12-30,ols,130,0.1731889657610876,184.18
2023-03-31,-0.1710410078800072,0.0,2022-12-30,ols,130,0.1731889657610876,183.22
2023-04-03,-0.1754463144897065,0.0,2022-12-30,ols,130,0.1731889657610876,184.54
2023-04-04,-0.17759925117136183,0.0,2022-12-30,ols,130,0.1731889657610876,187.98
2023-04-05,-0.1653984318986506,0.0,2022-12-30,ols,130,0.1731889657610876,187.83
2023-04-06,-0.1544726769201002,0.0,2022-12-30,ols,130,0.1731889657610876,186.49
2023-04-10,-0.12783411668234285,0.0,2022-12-30,ols,130,0.1731889657610876,185.11
2023-04-11,-0.11918027104886253,0.0,2022-12-30,ols,130,0.1731889657610876,186.28
2023-04-12,-0.12923605398849905,0.0,2022-12-30,ols,130,0.1731889657610876,187.19
2023-04-13,-0.13194151712800242,0.0,2022-12-30,ols,130,0.1731889657610876,189.72
2023-04-14,-0.09011079354872881,0.0,2022-12-30,ols,130,0.1731889657610876,186.36
2023-04-17,-0.08782504309427754,0.0,2022-12-30,ols,130,0.1731889657610876,185.53
2023-04-18,-0.09241595995896162,0.0,2022-12-30,ols,130,0.1731889657610876,186.25
2023-04-19,-0.08790084349204814,0.0,2022-12-30,ols,130,0.1731889657610876,185.36
2023-04-20,-0.09755833697854646,0.0,2022-12-30,ols,130,0.1731889657610876,186.09
2023-04-21,-0.0925225681800079,0.0,2022-12-30,ols,130,0.1731889657610876,184.25
2023-04-24,-0.09158965738415077,0.0,2022-12-30,ols,130,0.1731889657610876,184.81
2023-04-25,-0.10129082297247746,0.0,2022-12-30,ols,130,0.1731889657610876,185.75
2023-04-26,-0.09384068521209088,0.0,2022-12-30,ols,130,0.1731889657610876,184.74
2023-04-27,-0.09144654985361725,0.0,2022-12-30,ols,130,0.1731889657610876,184.75
2023-04-28,-0.10167634292106695,0.0,2022-12-30,ols,130,0.1731889657610876,184.8
2023-05-01,-0.10726369934430291,0.0,2022-12-30,ols,130,0.1731889657610876,183.97
2023-05-02,-0.1255833296255079,0.0,2022-12-30,ols,130,0.1731889657610876,187.52
2023-05-03,-0.1245251300062708,0.0,2022-12-30,ols,130,0.1731889657610876,189.11
2023-05-04,-0.11753559272867753,0.0,2022-12-30,ols,130,0.1731889657610876,190.44
2023-05-05,-0.0963213301579053,0.0,2022-12-30,ols,130,0.1731889657610876,187.46
2023-05-08,-0.09391965353784232,0.0,2022-12-30,ols,130,0.1731889657610876,187.69
2023-05-09,-0.10586595823219794,0.0,2022-12-30,ols,130,0.1731889657610876,189.02
2023-05-10,-0.11163840319735661,0.0,2022-12-30,ols,130,0.1731889657610876,188.75
2023-05-11,-0.12329339612582799,0.0,2022-12-30,ols,130,0.1731889657610876,187.13
2023-05-12,-0.14041705530883425,0.0,2022-12-30,ols,130,0.1731889657610876,186.81
2023-05-15,-0.14103345095916386,0.0,2022-12-30,ols,130,0.1731889657610876,187.21
2023-05-16,-0.14913765208048607,0.0,2022-12-30,ols,130,0.1731889657610876,184.87
2023-05-17,-0.14508662296470862,0.0,2022-12-30,ols,130,0.1731889657610876,184.23
2023-05-18,-0.15040143219373975,0.0,2022-12-30,ols,130,0.1731889657610876,181.84
2023-05-19,-0.15680140435974105,0.0,2022-12-30,ols,130,0.1731889657610876,183.64
2023-05-22,-0.15699071011438473,0.0,2022-12-30,ols,130,0.1731889657610876,183.21
2023-05-23,-0.16379390386589965,0.0,2022-12-30,ols,130,0.1731889657610876,183.43
2023-05-24,-0.15042105396854444,0.0,2022-12-30,ols,130,0.1731889657610876,181.95
2023-05-25,-0.1392920796234686,0.0,2022-12-30,ols,130,0.1731889657610876,180.2
2023-05-26,-0.1251689264648435,0.0,2022-12-30,ols,130,0.1731889657610876,180.92
2023-05-30,-0.11122979181442644,0.0,2022-12-30,ols,130,0.1731889657610876,182.04
2023-05-31,-0.10139098784894658,0.0,2022-12-30,ols,130,0.1731889657610876,182.32
2023-06-01,-0.09747487779475442,0.0,2022-12-30,ols,130,0.1731889657610876,183.76
2023-06-02,-0.0741961953642167,0.0,2022-12-30,ols,130,0.1731889657610876,181.05
2023-06-05,-0.054900302508927856,0.0,2022-12-30,ols,130,0.1731889657610876,182.14
2023-06-06,-0.0574012939508729,0.0,2022-12-30,ols,130,0.1731889657610876,182.34
2023-06-07,-0.06082588002562672,0.0,2022-12-30,ols,130,0.1731889657610876,180.15
2023-06-08,-0.08582272913860725,0.0,2022-12-30,ols,130,0.1731889657610876,182.53
2023-06-09,-0.0987900439089528,0.0,2022-12-30,ols,130,0.1731889657610876,182.04
2023-06-12,-0.11176688972535129,0.0,2022-12-30,ols,130,0.1731889657610876,181.88
2023-06-13,-0.1136931871720151,0.0,2022-12-30,ols,130,0.1731889657610876,180.54
2023-06-14,-0.13943603353934914,0.0,2022-12-30,ols,130,0.1731889657610876,180.64
2023-06-15,-0.14963076350710058,0.0,2022-12-30,ols,130,0.1731889657610876,181.91
2023-06-16,-0.12114513362914922,0.0,2022-12-30,ols,130,0.1731889657610876,181.63
