Date,adaptive_band_rank01_score,adaptive_band_rank02_score,adaptive_band_rank03_score,adaptive_band_rank04_score,adaptive_band_rank05_score,adaptive_band_rank06_score,adaptive_band_rank07_score,adaptive_band_rank08_score,adaptive_band_rank09_score,adaptive_band_rank10_score,ma_crossover_rank01_score,ma_crossover_rank02_score,ma_crossover_rank03_score,ma_crossover_rank04_score,ma_crossover_rank05_score,ma_crossover_rank06_score,ma_crossover_rank07_score,ma_crossover_rank08_score,ma_crossover_rank09_score,ma_crossover_rank10_score,adaptive_volatility_band_rank01_score,adaptive_volatility_band_rank02_score,adaptive_volatility_band_rank03_score,adaptive_volatility_band_rank04_score,adaptive_volatility_band_rank05_score,adaptive_volatility_band_rank06_score,adaptive_volatility_band_rank07_score,adaptive_volatility_band_rank08_score,adaptive_volatility_band_rank09_score,adaptive_volatility_band_rank10_score,fear_greed_candle_volume_rank01_score,fear_greed_candle_volume_rank02_score,fear_greed_candle_volume_rank03_score,fear_greed_candle_volume_rank04_score,fear_greed_candle_volume_rank05_score,fear_greed_candle_volume_rank06_score,fear_greed_candle_volume_rank07_score,fear_greed_candle_volume_rank08_score,fear_greed_candle_volume_rank09_score,fear_greed_candle_volume_rank10_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2021-01-04,1.0,1.0,0.7105742893541601,0.7763656081754725,0.84742023250249,0.9243960755234286,1.0,1.0,1.0,1.0,-0.3247671571431373,-0.3213560028481689,-0.38405539316900944,-0.20720444187137424,-0.16793382662925488,0.2584087453284717,0.13859255612086585,0.04443747691637077,-0.20736826562038094,0.14802504640570346,-0.06974778999528125,-0.05398080338503158,-0.03767012758132551,-0.02078714736345381,-0.003301203566372928,0.014820592732420515,0.033613566671909886,0.05311570943930437,0.07336793462082941,0.09441436471143402,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,182.33
2021-01-05,1.0,1.0,0.22267630408276168,0.26970231577825393,0.3204904084093836,0.375510842093107,0.4353156613145484,0.5005572822833911,1.0,1.0,-0.2370305956657745,-0.33493687153755985,-0.270291085528599,-0.18354968935652616,0.007879166727243776,0.3251887082284968,0.22492112989405003,0.11359668818038485,-0.10361557608741273,0.2188152250148644,0.11447253032661901,0.1333618952474092,0.15290261757926113,0.17312897929117804,0.19407771106423483,0.21578821490176642,0.23830281147402138,0.2616670154640973,0.2859298426845608,0.31114415332543455,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,182.87
2021-01-06,-0.2632288132804324,-0.1895516946084785,-0.6998339609661048,-0.688289113310954,-0.6758206778433917,-0.6623132060868653,-0.6476311715689042,-0.6316144066402193,0.4503174775114278,-0.3895516946084785,-0.178310716492361,-0.27905038120210496,-0.17233348858872632,-0.23275530464042332,0.18565468316155503,0.36995757224579395,0.302897678574682,0.14579021068210463,0.002457494831882962,0.2650322093622603,0.660379534887328,0.6885215609023676,0.7176340016075806,0.7477679314603453,0.7789780730935658,0.8113231289679942,0.8448661498748092,0.8796749451554658,0.9158225402546092,0.9533876881027392,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,179.9
2021-01-07,-0.8108409156000363,-0.7919250071600401,-0.9229351878370521,-0.9199711566000144,-0.916770002864015,-0.9133020863166823,-0.9095326118087119,-0.905420457800017,0.1427945631732421,-0.9919250071600426,-0.1615368772740817,-0.2357027491707043,-0.11438777418776466,-0.25588163298608874,0.26182965299684047,0.43493309170383637,0.35778762514360907,0.17718660073495454,0.08245791671940157,0.3244202455629353,-0.2261840932923136,-0.21306856944981037,-0.19950078616446246,-0.18545694030769855,-0.17091152852747882,-0.15583719268252408,-0.1402045481025707,-0.12398199240639281,-0.10713549226036183,-0.08962834504978062,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,179.48
2021-01-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.17224650449667664,-0.27519494277625817,-0.033850566070942126,-0.27052209085010076,0.30055677506578077,0.41995310002605807,0.3610700804201576,0.20894435749796386,0.12973041387165857,0.309108475273291,0.5933755776774658,0.6203819434008128,0.6483195631146198,0.6772374501868059,0.7071881189401419,0.7382279029208718,0.7704173085305177,0.8038214086914709,0.8385102819355374,0.8745595031499599,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,173.34
2021-01-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.24096661250826892,-0.3329049512860116,0.038251506405202036,-0.2982954435071798,0.31657677826396124,0.39115978268901125,0.34137534876087566,0.24162678790165573,0.1622263004682915,0.2847155520377651,-0.17938869933894092,-0.16548003322604157,-0.15109175793683535,-0.13619863088309567,-0.12077360643457948,-0.10478767200611735,-0.0882096659321564,-0.07100607472332923,-0.05314080692954718,-0.03457494039875379,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,173.0
2021-01-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.41621089727450905,-0.33936541567534667,0.15135567299546537,-0.3257113327556992,0.3508845891058178,0.3963086687174051,0.34812261794043653,0.29467329526582653,0.22577310888916718,0.2756231321527476,-0.16796488140329435,-0.1538625912575875,-0.13927401524478727,-0.1241735593718888,-0.10853380150352968,-0.09232532516723022,-0.07551653489254917,-0.05807345064523877,-0.03995947854226259,-0.02113515459211087,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,174.12
2021-01-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5826449117828295,-0.35501293829561575,0.29134225012743326,-0.28152574707905453,0.36075535332683456,0.38513978603344895,0.3564746430329887,0.3539268072985376,0.2631312492089548,0.25056545950802606,-0.18065830058187107,-0.16677115313410615,-0.15240513853297005,-0.13753505324407478,-0.12213389348057609,-0.10617269154385928,-0.08962033397985666,-0.0724433591492879,-0.05460573144062034,-0.03606858891984818,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,173.37
2021-01-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5284789125609265,-0.36722182664424446,0.3793977313152493,-0.24899657689929705,0.363066769396279,0.3288598173001001,0.3498003173040078,0.35526598981264657,0.25155043665358884,0.20766095526743705,-0.17759827214410506,-0.1636592598075645,-0.14923959187321217,-0.13431397067800552,-0.11885529158296979,-0.10283447870266015,-0.08622030238233894,-0.06897917601219442,-0.05107492939704432,-0.032468555463652904,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,173.28
2021-01-15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4717041579898736,-0.3765304527535172,0.43363932093489105,-0.2901514945467724,0.38616639288256993,0.24173319903711468,0.3168663493626572,0.3384624377904567,0.26243513479306196,0.13583421825751557,0.5433075536150546,0.5694653087610724,0.5965250554638495,0.6245342669632151,0.6535438074447011,0.683608240307332,0.7147861706833942,0.7471406267340243,0.7807394849404478,0.8156559454294761,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,171.13
2021-01-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.39627909105467957,-0.29730292978586237,0.46228210761032956,-0.34607120515680384,0.41208623471776884,0.11245104863830566,0.284078268322485,0.30853277144353386,0.2785617854280097,0.0229958227823117,-0.5308300440846323,-0.5228780109335242,-0.5146517697427231,-0.5061368885101392,-0.4973179043763917,-0.4881782299105077,-0.4787000489829248,-0.4688642008505269,-0.45865005086688343,-0.4480353459819201,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,172.58
2021-01-20,-0.9983478570986604,-0.9981826428085236,-0.9993269047438997,-0.9993010164648178,-0.9992730571234105,-0.999242767836886,-0.9992098446993594,-0.999173928549329,-1.0,-1.0,-0.2540332730726271,-0.2317952102256347,0.5047878563386324,-0.3497390905664551,0.44414077832210996,0.009504439164204289,0.28265587103597617,0.3009121852323281,0.30909589503438384,-0.06968601857354571,0.083618160097375,0.10198456959055079,0.12098430354900877,0.14065069483934192,0.16101945724718753,0.1821289019244091,0.20402017788597218,0.22673753973287752,0.2503286462662017,0.274844894232206,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,175.39
2021-01-21,-0.5439522815397989,-0.49834750969377767,-0.8142027813680652,-0.8070567344976076,-0.7993390038775118,-0.7909781290390734,-0.7818902216059894,-0.7719761407698965,-1.0,-0.6983475096937828,-0.1341449461086075,-0.18678036157760414,0.5150200426157626,-0.36130225473932226,0.490616232246431,-0.049326639262976306,0.2778051315717496,0.30316541295446403,0.3545120870775842,-0.12487148647544574,-0.3462263379022276,-0.3351454283751466,-0.3236824185195455,-0.3118171977918185,-0.29952821918095796,-0.2867923686206118,-0.2735848198913638,-0.2598788730968612,-0.2456457745025701,-0.23085451517909103,0,0,0,0,0,0,0,0,0,0,0.05011874981489774,1.0,2020-12-31,elastic_net,130,0.05011874981489774,175.28
