k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,2.0,5,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,1
1.2,2.0,7,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,2
1.2,2.0,10,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,3
1.5,2.0,5,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,4
1.5,2.0,7,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,5
1.5,2.0,10,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,6
1.8,2.0,5,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,7
1.8,2.0,7,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,8
1.8,2.0,10,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,9
2.0,1.2,5,1250,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.3829822942015608,45.64,-0.1148707321602862,10
