k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
2.0,1.8,5,748,1,31.579999999999984,0.2726880234867455,1.0,0.2726880234867455,536.0,0.5101392621548986,62.64,-0.2374512386681531,1
2.0,1.8,7,748,1,31.579999999999984,0.2726880234867455,1.0,0.2726880234867455,536.0,0.5101392621548986,62.64,-0.2374512386681531,2
2.0,1.8,10,748,1,31.579999999999984,0.2726880234867455,1.0,0.2726880234867455,536.0,0.5101392621548986,62.64,-0.2374512386681531,3
1.2,2.0,5,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,4
1.2,2.0,7,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,5
1.2,2.0,10,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,6
1.5,2.0,5,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,7
1.5,2.0,7,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,8
1.5,2.0,10,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,9
1.8,2.0,5,748,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.5101392621548986,62.64,-0.24202770011362396,10
