rank,objective_value,w1,w2,w3,w4
1,0.3825191430893655,1.0,0.0,0.0,0.0
2,0.3789606489858345,0.9800000000000001,0.02,0.0,0.0
3,0.3787548361201627,0.9800000000000001,0.0,0.02,0.0
4,0.3753961719939213,0.9600000000000001,0.04,0.0,0.0
5,0.3751944947923239,0.9600000000000001,0.02,0.02,0.0
6,0.37509457105678434,0.9800000000000001,0.0,0.0,0.019999999999999907
7,0.37498325288752166,0.9600000000000001,0.0,0.04,0.0
8,0.37182570815488236,0.9400000000000001,0.06,0.0,0.0
9,0.371628170377357,0.9400000000000001,0.04,0.02,0.0
10,0.37153471027505247,0.9600000000000001,0.02,0.0,0.019999999999999907
