k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,1.2,3,244,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,0.10458851941296676,16.889999999999986,-0.0932259696181188,1
1.5,1.2,3,244,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,0.10458851941296676,16.889999999999986,-0.0932259696181188,2
1.8,1.2,3,244,2,1.8900000000000148,0.011362549794847965,1.0,0.005674235531530014,4.5,0.10458851941296676,16.889999999999986,-0.0932259696181188,3
1.2,1.5,3,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,4
1.2,1.5,5,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,5
1.2,1.5,7,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,6
1.2,1.5,10,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,7
1.2,1.8,3,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,8
1.2,1.8,5,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,9
1.2,1.8,7,244,0,0.0,0.0,-1.0,,,0.10458851941296676,16.889999999999986,-0.10458851941296676,10
