month_start,month_end,active_anchor_date,weights,strategy_keys,prediction_scale
2022-01-01,2022-02-28,2021-12-31,"[0.45001592002809043, 0.0, 0.5499840799719096, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",0.7000194173171551
2022-03-01,2022-04-30,2022-02-28,"[1.0, 0.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-05-01,2022-06-30,2022-04-29,"[1.0, 0.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-07-01,2022-08-31,2022-06-30,"[1.0, 0.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-09-01,2022-10-31,2022-08-31,"[0.0, 0.0, 1.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",1.0
2022-11-01,2022-12-31,2022-10-31,"[0.0, 1.0, 0.0, 0.0]","['adaptive_band', 'ma_crossover', 'adaptive_volatility_band', 'fear_greed_candle_volume']",0.7907437239160431
