Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2024-01-02,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,190.72
2024-01-03,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,189.13
2024-01-04,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,189.32
2024-01-05,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,189.35
2024-01-08,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.87
2024-01-09,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.93
2024-01-10,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.5
2024-01-11,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.87
2024-01-12,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,189.71
2024-01-16,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.91
2024-01-17,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,185.84
2024-01-18,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.37
2024-01-19,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.93
2024-01-22,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.22
2024-01-23,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.95
2024-01-24,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,186.4
2024-01-25,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.14
2024-01-26,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.01
2024-01-29,-0.4843044240947214,-0.4843044240947214,0.0,2023-12-29,adaptive_band,130,1.0,188.33
2024-01-30,-0.09091974719049171,-0.09091974719049171,0.0,2023-12-29,adaptive_band,130,1.0,188.59
2024-01-31,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.45
2024-02-01,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,190.41
2024-02-02,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.61
2024-02-05,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.57
2024-02-06,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.55
2024-02-07,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.5
2024-02-08,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.33
2024-02-09,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.6
2024-02-12,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.11
2024-02-13,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,184.53
2024-02-14,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,184.42
2024-02-15,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,185.66
2024-02-16,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,186.34
2024-02-20,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,187.47
2024-02-21,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.48
2024-02-22,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,187.56
2024-02-23,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,188.62
2024-02-26,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.2
2024-02-27,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.0
2024-02-28,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,188.34
2024-02-29,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,189.31
2024-03-01,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,192.89
2024-03-04,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,196.01
2024-03-05,0.17451967466679666,0.17451967466679666,0.17451967466679666,2023-12-29,adaptive_band,130,1.0,197.19
2024-03-06,0.6257373861481553,0.6257373861481553,0.6257373861481553,2023-12-29,adaptive_band,130,1.0,198.81
2024-03-07,0.41544219919052683,0.41544219919052683,0.41544219919052683,2023-12-29,adaptive_band,130,1.0,199.94
2024-03-08,-0.8496825451401135,-0.8496825451401135,0.0,2023-12-29,adaptive_band,130,1.0,201.63
2024-03-11,0.6577052282678778,0.6577052282678778,0.6577052282678778,2023-12-29,adaptive_band,130,1.0,202.0
2024-03-12,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,199.79
2024-03-13,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,201.19
2024-03-14,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,200.35
2024-03-15,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,199.71
2024-03-18,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,200.03
2024-03-19,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,199.8
2024-03-20,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,202.18
2024-03-21,0.8930820781329858,0.8930820781329858,0.8930820781329858,2023-12-29,adaptive_band,130,1.0,201.97
2024-03-22,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,200.35
2024-03-25,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,200.99
2024-03-26,1.0,1.0,1.0,2023-12-29,adaptive_band,130,1.0,201.64
2024-03-27,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,203.1
2024-03-28,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,205.72
2024-04-01,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,207.82
2024-04-02,-1.0,-1.0,0.0,2023-12-29,adaptive_band,130,1.0,210.89
