Date,adaptive_volatility_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,adaptive_band_rank01_score,price
2023-01-03,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,171.06
2023-01-04,-0.2694368413140702,-0.2694368413140702,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,172.67
2023-01-05,-0.2594531064436342,-0.2594531064436342,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,170.52
2023-01-06,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,173.71
2023-01-09,-0.44379361973597237,-0.44379361973597237,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,174.1
2023-01-10,-0.9068183595249308,-0.9068183595249308,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,174.74
2023-01-11,-0.5801410235275981,-0.5801410235275981,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,174.62
2023-01-12,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,176.64
2023-01-13,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,178.76
2023-01-17,-0.4532186097976092,-0.4532186097976092,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,177.59
2023-01-18,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,177.08
2023-01-19,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,179.89
2023-01-20,-0.8052186255139882,-0.8052186255139882,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,179.29
2023-01-23,0.9325552075708984,0.9325552075708984,0.9325552075708984,2022-12-30,adaptive_volatility_band,45,1.0,,179.63
2023-01-24,0.9993833319257268,0.9993833319257268,0.9993833319257268,2022-12-30,adaptive_volatility_band,45,1.0,,180.28
2023-01-25,0.8302512293349377,0.8302512293349377,0.8302512293349377,2022-12-30,adaptive_volatility_band,45,1.0,,181.11
2023-01-26,0.6196925447667044,0.6196925447667044,0.6196925447667044,2022-12-30,adaptive_volatility_band,45,1.0,,179.47
2023-01-27,-0.10793994408957865,-0.10793994408957865,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,179.22
2023-01-30,-1.0,-1.0,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,178.76
2023-01-31,-0.5752159532691322,-0.5752159532691322,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,179.41
2023-02-01,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,181.67
2023-02-02,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,177.9
2023-02-03,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,173.46
2023-02-06,-0.6216830948030232,-0.6216830948030232,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,173.82
2023-02-07,0.4233663533074222,0.4233663533074222,0.4233663533074222,2022-12-30,adaptive_volatility_band,45,1.0,,173.98
2023-02-08,-0.6227913028138687,-0.6227913028138687,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,174.41
2023-02-09,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,173.03
2023-02-10,-0.920555423214394,-0.920555423214394,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,173.36
2023-02-13,-1.0,-1.0,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,172.48
2023-02-14,0.9640945429673732,0.9640945429673732,0.9640945429673732,2022-12-30,adaptive_volatility_band,45,1.0,,172.61
2023-02-15,-1.0,-1.0,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,170.89
2023-02-16,0.22434594922231324,0.22434594922231324,0.22434594922231324,2022-12-30,adaptive_volatility_band,45,1.0,,170.75
2023-02-17,0.7817166006792936,0.7817166006792936,0.7817166006792936,2022-12-30,adaptive_volatility_band,45,1.0,,171.26
2023-02-21,-0.5393200726643472,-0.5393200726643472,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,170.62
2023-02-22,-0.14968564764147196,-0.14968564764147196,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,169.66
2023-02-23,-0.7084051264866151,-0.7084051264866151,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,169.57
2023-02-24,-1.0,-1.0,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,168.35
2023-02-27,-1.0,-1.0,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,169.01
2023-02-28,0.5486442666588964,0.5486442666588964,0.5486442666588964,2022-12-30,adaptive_volatility_band,45,1.0,,169.78
2023-03-01,-0.4822924344273579,-0.4822924344273579,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,170.76
2023-03-02,-1.0,-1.0,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,170.66
2023-03-03,0.4310186236577209,0.4310186236577209,0.4310186236577209,2022-12-30,adaptive_volatility_band,45,1.0,,172.49
2023-03-06,-0.7466368389892918,-0.7466368389892918,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,171.62
2023-03-07,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,168.62
2023-03-08,-0.20930410210479292,-0.20930410210479292,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,168.54
2023-03-09,-0.49760460019874797,-0.49760460019874797,0.0,2022-12-30,adaptive_volatility_band,45,1.0,,170.2
2023-03-10,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,173.87
2023-03-13,0.9977548053154883,0.9977548053154883,0.9977548053154883,2022-12-30,adaptive_volatility_band,45,1.0,,177.86
2023-03-14,0.4521980755443645,0.4521980755443645,0.4521980755443645,2022-12-30,adaptive_volatility_band,45,1.0,,176.83
2023-03-15,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,178.21
2023-03-16,1.0,1.0,1.0,2022-12-30,adaptive_volatility_band,45,1.0,,178.57
