rank,objective_value,w1,w2,w3,w4
1,0.30918131994454306,1.0,0.0,0.0,0.0
2,0.30747215181074683,0.9800000000000001,0.0,0.02,0.0
3,0.30674910543108364,0.9800000000000001,0.0,0.0,0.019999999999999907
4,0.3058187500138578,0.9800000000000001,0.02,0.0,0.0
5,0.3057587058412992,0.9600000000000001,0.0,0.04,0.0
6,0.30503793981503985,0.9600000000000001,0.0,0.02,0.019999999999999907
7,0.3043118367911782,0.9600000000000001,0.0,0.0,0.039999999999999925
8,0.3041084799595526,0.9600000000000001,0.02,0.02,0.0
9,0.30404098236249427,0.9400000000000001,0.0,0.06,0.0
10,0.30338462209255734,0.9600000000000001,0.02,0.0,0.019999999999999907
